channel_id,direction,platform,account_scope,audience_state,channel_role,native_format,source_asset_id,public_identity,eligibility_ids,surfaces,permitted_cta,prohibited_cta,landing_asset,primary_metric,metric_availability,data_source,event_definition,diagnostic_metrics,attribution_method,attribution_level,baseline_window,test_window,minimum_events,decision_rule,compliance_scope,evidence_ids,confidence,owner,status,source_asset_sha256,consent_ids
CH-XHS-ORG,xhs_to_native_conversion,小红书,unassigned,已在小红书消费内容并产生进一步需求,conversion,搜索答案、关系案例、产品决策轮播/视频,XHS-SERIES-001,同一公开账号；编辑与商业关系透明,SKU-XHS-TBD-ORGANIC;SKU-XHS-TBD-SHOP,organic_content;shop,仅在两个eligibility均确认后使用获准站内商品组件；此前只允许非商业继续阅读,二维码、联系方式、看主页/dd/置顶、主动陌生私信,小红书主页、内容系列、经审站内商品组件,approved_component_click,unavailable_until_eligibility_and_backend_confirmed,小红书创作者/商业后台,来自已获准内容的商品组件有效点击，按平台后台定义去重,主页访问、内容消费、订单、退款、投诉,原生组件事件与订单回传,platform_native,volume_based_pre_registered,matched_exposure_or_duration,set_after_baseline,预注册阈值；未达到最小事件数只报inconclusive,社区、公约、商业合作、专业号与店铺商品逐层核验,OFF-004;OFF-005;OFF-017,high,unassigned,blocked_pending_eligibility
CH-XHS-PAID,xhs_to_native_conversion,小红书,unassigned,有明确查询或兴趣但尚未认识账号,discovery,搜索信息流或经审客资广告,XHS-SERIES-001,品牌/经营身份明示,SKU-XHS-TBD-ADS;SKU-XHS-TBD-LEADGEN,ads;leadgen,仅在广告与客资两个surface均确认后使用官方组件,私下找人伪装素人、未授权第三方平台、未经同意触达,经审广告笔记与原生客资页,approved_lead_submit,unavailable_until_eligibility_and_backend_confirmed,聚光/广告后台,符合预先定义且完成明确同意的有效留资提交,素材消费、无效线索、撤回/投诉、订单,广告后台原生事件,platform_native,volume_based_pre_registered,matched_budget_and_exposure,set_after_baseline,预注册有效线索定义和阈值；资格或事件不足即不运行,广告行业、账户、表单隐私、素材、落地页和SKU逐项审核,OFF-017;OFF-021,medium,unassigned,blocked_pending_eligibility
CH-XHS-APPROVED-OUT,xhs_to_approved_external,小红书,unassigned,已在小红书形成购买意向且可能存在官方外跳产品,conversion,经审核的商业笔记与官方外跳产品,XHS-SERIES-001,品牌/经营身份明示,SKU-XHS-TBD-APPROVED-EXTERNAL,approved_external_destination,无；补齐精确官方能力页、账户/行业/SKU与目的地工单后再定义,手写网址、二维码、微信号、主页暗示、私信发送站外路径,待确认的官方原生外跳产品,attributed_paid_order,unavailable,精确能力页面、平台后台和获批站外订单回传（当前缺失）,官方外跳点击后在归因窗口内形成且可退款核对的支付订单,点击质量、退款、投诉,仅接受官方产品级回传,unknown,not_started,not_started,not_set,保持blocked；不得用代理指标冒充已验证订单,小红书商业产品、行业、账户、素材、落地页、目的地和SKU逐项审核,OFF-005;OFF-021,low,unassigned,blocked_missing_exact_official_capability
CH-ZHIHU,external_to_xhs,知乎,unassigned,主动搜索关系、身体或产品决策问题,search,有来源的任务型问答/专栏,MOTHER-TOPIC-001,与小红书同名同主体，不伪装无利益关系,OFFER-ZHIHU-EDITORIAL-001,public_question_answer,本平台关注/同系列；跨平台链接只有在知乎当前规则明确允许且必要时才使用,重复营销跳转、伪造经历、露骨故事、垃圾广告,知乎内容系列；用户可主动搜索同名品牌,directional_xhs_brand_series_search_change,unconfirmed_in_current_account,知乎创作数据 + 小红书可用搜索/主页数据（需先验证字段）,测试窗品牌/系列词可见指标相对匹配基线的方向性变化,知乎完读/收藏、小红书主页访问/关注（若字段可得）,渠道错峰+系列词+未投放主题对照,directional,volume_based_pre_registered,matched_exposure_or_duration,set_after_metric_availability_check,先确认字段和基线方差；未达最小事件数或混杂过大报inconclusive,知乎社区、广告/知+与成人内容规则,OFF-024;OFF-025;OFF-026,medium,unassigned,needs_content_review_then_noncommercial_only
CH-BILI,external_to_xhs,哔哩哔哩,unassigned,愿意花时间理解关系机制或产品判断,trust,非露骨解释视频、授权案例、资质访谈,MOTHER-TOPIC-001,与小红书同名同主体；商业合作明示,OFFER-BILI-EDITORIAL-001,public_video,本平台关注/系列；商业合作另走花火且需独立eligibility,二维码/微信、伪装身份、低俗拟态、垃圾促销,B站内容系列；用户可主动搜索同名品牌,directional_xhs_brand_series_search_change,unconfirmed_in_current_account,B站创作数据 + 小红书可用搜索/主页数据（需先验证字段）,测试窗品牌/系列词可见指标相对匹配基线的方向性变化,B站完播/收藏/关注、小红书主页/关注（若字段可得）,渠道错峰+系列词+未投放主题对照,directional,volume_based_pre_registered,matched_exposure_or_duration,set_after_metric_availability_check,先确认字段和基线方差；未达最小事件数或混杂过大报inconclusive,B站用户协议、分区规则；商业合作另核花火,OFF-027;OFF-028;OFF-029,medium,unassigned,needs_content_review_then_noncommercial_only
CH-PODCAST,external_to_xhs,具体播客平台待定,unassigned,对关系、女性身体和消费伦理有深度兴趣,trust,访谈、圆桌、授权案例拆解,MOTHER-TOPIC-001,公开同名品牌与嘉宾资质/利益关系,OFFER-PODCAST-EDITORIAL-001,public_audio,节目订阅和公开系列名；链接规则按具体播客平台复核,伪造专家、医疗/治疗结论、隐藏商业关系,播客节目/单集；用户主动搜索同名品牌,directional_xhs_brand_series_search_change,unconfirmed_in_current_account,播客平台数据 + 小红书可用搜索/主页数据（均需先验证字段）,测试窗品牌/系列词可见指标相对匹配基线的方向性变化,收听完成、订阅、小红书主页/关注（若字段可得）,渠道错峰+独特系列词+未投放主题对照,directional,volume_based_pre_registered,matched_exposure_or_duration,set_after_metric_availability_check,具体平台规则和字段未核前不运行商业实验；不足报inconclusive,具体播客平台规则、广告法与嘉宾授权,IND-062;LEG-004;LEG-005,low,unassigned,needs_current_platform_check_then_noncommercial_only
CH-DOUYIN,external_to_xhs,抖音,unassigned,尚未系统思考但能被单一命题触达,discovery,一个误区、一个沟通判断或一个非露骨场景短视频,MOTHER-TOPIC-001,与小红书同名同主体；商业身份明示,OFFER-DOUYIN-EDITORIAL-001,public_short_video,默认本平台消费；任何商品/星图动作需另引用对应SKU或OFFER-COLLAB eligibility,硬导小红书、低俗拟态、禁售SKU、医疗功效,抖音原生内容；用户可主动搜索同名品牌,directional_xhs_brand_series_search_change,unconfirmed_in_current_account,抖音创作数据 + 小红书可用搜索/主页数据（需先验证字段）,测试窗品牌/系列词可见指标相对匹配基线的方向性变化,抖音完播/收藏/评论语义、小红书主页/关注（若字段可得）,分主题错峰+未投放主题对照,directional,volume_based_pre_registered,matched_exposure_or_duration,set_after_metric_availability_check,先确认字段和基线方差；未达最小事件数或混杂过大报inconclusive,抖音协议、内容规则；商业类目/星图另行核验,OFF-030;OFF-031;OFF-032;OFF-033;OFF-034,medium,unassigned,needs_content_review_then_noncommercial_only
CH-OWNED-WEB-REF,external_to_xhs,owned_web,unassigned,通过公开搜索、活动或既有关系访问自有站,discovery,公开内容归档或活动页中的明示官方主页入口,MOTHER-TOPIC-001,品牌主体、隐私政策与商业目的明示,OFFER-OWNED-REFERRAL-001,public_page,审核通过后明示链接到小红书官方主页/笔记,暗中拼接敏感身份、默认订阅、欺骗点击,自有域名中的小红书官方链接,xhs_outbound_link_click,available_after_first_party_analytics_setup,自有站分析系统,用户主动点击标注清楚的小红书官方链接；按第一方分析定义去重,页面完读、按钮可见、退出/隐私请求,第一方链接事件；不做敏感身份跨平台拼接,directional,volume_based_pre_registered,matched_page_traffic,set_after_baseline,预注册最小点击数与异常流量规则；不足报inconclusive,个人信息保护、广告、统计告知和链接真实性,LEG-003;LEG-004,high,unassigned,blocked_until_privacy_setup
CH-WECHAT-EMAIL,owned_retention,owned_channels,unassigned,已明确自愿订阅或完成合法交易,retention,内容摘要、售后、复购教育、服务通知,MOTHER-TOPIC-001,主体、发送原因和退出方式清楚,OFFER-RETENTION-001,email_wechat_crm,只在已同意范围内发送内容/售后；购买动作还需对应SKU eligibility确认,从小红书暗号拉群、购买名单、越范围营销、无退订,公众号/邮件/企微/CRM,retained_opt_in_subscriber_rate,available_after_consent_and_crm_setup,同意记录、邮件/企微/CRM日志,观察期结束仍有效订阅且未撤回的人数/期初有效自愿订阅人数,打开、点击、退订、删除请求、投诉,可审计同意记录+第一方事件,consent_based_first_party,cohort_based_pre_registered,matched_cohort_period,set_after_baseline,预注册留存窗口和最小队列；小队列只报描述性结果,个人信息保护、广告、腾讯/邮件平台规则；产品复购另核SKU,OFF-035;LEG-003;LEG-004,high,unassigned,blocked_until_privacy_setup
CH-CREATOR-COLLAB,external_to_xhs,multi_platform,unassigned,信任相关创作者但尚未认识品牌,trust,同一母题的各平台原生联名内容,MOTHER-TOPIC-001,品牌与合作/报酬关系明示,OFFER-COLLAB-001,official_creator_marketplace,仅使用各平台审核通过的合作组件；商品植入需追加对应SKU eligibility,假装普通用户、隐瞒报酬、虚假体验、私下竞品撬客,合作内容与品牌公开主页,directional_xhs_brand_series_search_change,unconfirmed_in_current_account,原生合作后台 + 小红书可用搜索/主页数据（需先验证字段）,合作窗品牌/系列词可见指标相对匹配基线和对照创作者/主题的方向性变化,内容消费、品牌搜索、主页、受众匹配（若字段可得）,原生合作后台+错峰/匹配主题对照,directional,volume_based_pre_registered,matched_creator_and_exposure,set_after_metric_availability_check,先确认字段、匹配规则和最小事件；不足报inconclusive,各平台商业合作、广告披露、创作者资质；商品另核SKU,OFF-022;OFF-027;OFF-034;LEG-004,medium,unassigned,blocked_pending_platform_review
CH-OFFLINE,external_to_xhs,offline,unassigned,愿意参与线下教育或体验活动,trust,关系边界沙龙、书展、设计展、匿名问题墙,MOTHER-TOPIC-001,活动主办/品牌身份公开,OFFER-EVENT-001,venue_and_event,仅公开活动信息与品牌名；参与者完全自愿搜索/发布/关注,奖励打卡、强制发帖、偷拍、收集不必要私密信息,活动页、自有站、小红书公开主页,consented_event_attendance,available_after_registration_and_consent_setup,活动报名/签到/同意记录,满足公开年龄/场地条件并完成有效同意的实际到场人数,撤回、投诉、自愿UGC、品牌搜索方向（若可得）,第一方报名签到；UGC和搜索只作方向性补充,directional,cohort_based_pre_registered,matched_event_or_series,set_after_capacity_and_baseline,预注册容量、有效到场和安全阈值；未通过场地/安全审查不办,场地、年龄、拍摄同意、隐私、危机预案；商品展示另核SKU,IND-064;LEG-003;LEG-005,low,unassigned,blocked_pending_safety_review
