query_id,platform,query,search_surface,sort_or_filter,run_at,result_count,selected_source_ids,selected_account_ids,selected_post_ids,new_valid_accounts,new_content_patterns,notes
Q-WEB-001,全网,小红书 算法备案 个性化推荐,搜索引擎,默认,2026-07-16,,OFF-001,,,,,优先选择网信办算法备案原件
Q-WEB-002,全网,site:xiaohongshu.com 小红书 社区规范 色情 性暗示,搜索引擎,默认,2026-07-16,,OFF-002,,,,,命中官方「现场」主题规则；目前只能按活动规则范围使用
Q-WEB-003,全网,site:xiaohongshu.com 搜索 search_source deeplink,搜索引擎,默认,2026-07-16,,OFF-003,,,,,用官方产品文档确认搜索入口和查询来源，不据此推断排序权重
Q-WEB-004,全网,site:ad.xiaohongshu.com 成人用品 情趣用品 准入,搜索引擎,默认,2026-07-16,,OFF-004,,,,,商业投放语境；与自然内容规则分开记录
Q-WEB-005,全网,site:pgy.xiaohongshu.com 成人用品 商业笔记 审核,搜索引擎,默认,2026-07-16,,OFF-005,,,,,商业合作笔记语境；待核验完整正文
Q-WEB-006,全网,小红书 资质入驻要求 成人 情趣 计生用品 PDF,搜索引擎,默认,2026-07-16,,OFF-006,,,,,商品销售资质不等于内容表达许可
Q-WEB-007,全网,小红书 搜索 行为 关键词 推荐 学位论文,搜索引擎,默认,2026-07-16,,ACA-001,,,,,获取用户搜索行为的质性研究
Q-WEB-008,全网,小红书 CES 流量池 算法 论文,搜索引擎,默认,2026-07-16,,ACA-002,,,,,论文出现精确公式，但公式来源不足，专门作为待证伪主张入账
Q-WEB-009,GitHub/全网,王树森 小红书 推荐系统 Slides,搜索引擎,默认,2026-07-16,,TECH-001,,,,,发现公开推荐系统课件，待核验完整上下文
Q-WEB-010,全网,site:xiaohongshu.com 小红书 社区规范 社区公约 规则 色情 低俗 官方,搜索引擎+内置浏览器,默认,2026-07-16,,OFF-005;OFF-007,,,,,内置浏览器读取社区规范完整 DOM；蒲公英帮助页由搜索索引取得完整条款
Q-WEB-011,全网,小红书 热议话题 规则 个性化,搜索引擎,默认,2026-07-16,,OFF-008,,,,,定位官方热议榜单说明；机制只适用于热议话题入口
Q-WEB-012,全网,小红书 热点榜单 排序规则,搜索引擎,默认,2026-07-16,,OFF-009,,,,,定位官方热点榜单公式；不得外推到普通推荐流
Q-WEB-013,全网,2024小红书十大搜索趋势洞察,搜索引擎,默认,2026-07-16,,REP-001,,,,,找到 15 页报告镜像并核对末页出品团队，原始官方发布页仍待定位
Q-WEB-014,arXiv/全网,Xiaohongshu search ranking relevance KDD,搜索引擎,默认,2026-07-16,,TECH-002,,,,,定位小红书搜索团队工程论文，提取真实相关性判断维度
Q-WEB-015,arXiv/全网,Xiaohongshu cold start recommendation multimodal CTR,搜索引擎,默认,2026-07-16,,TECH-003,,,,,定位 2026 生产预印本；明确新笔记冷启动会利用图文内容信号
Q-WEB-016,arXiv/全网,Xiaohongshu hashtag audience control mixed methods,搜索引擎,默认,2026-07-16,,ACA-003,,,,,作为标签与受众控制的用户侧研究，不作为排名规则
Q-GH-001,GitHub,wangshusen/RecommenderSystem Slides,GitHub API,目录枚举,2026-07-16,46,TECH-001,,,,,仓库含基础、召回、排序、特征交叉、用户序列、重排、冷启动和系统改进课件；本轮只精读与内容生产直接相关的第一讲
Q-WEB-017,全网,site:pgy.xiaohongshu.com 虚构故事恶意起号 聊天记录 两性话题,搜索引擎,默认,2026-07-16,,OFF-005,,,,,核得 2026-06-12 版蒲公英内容审核规范及与聊天记录/模板故事直接相关的细则
Q-WEB-018,全网,site:ad.xiaohongshu.com/next_help/docs 性玩具 情趣用品 计生用品 生殖健康,搜索引擎,默认,2026-07-16,,OFF-004,,,,,核得 2026-06-08 版专业号规则；同属成人用品大类的具体名称对应不同准入结论，必须逐 SKU 核验
Q-OFF-001,全网,小红书社区公约2.0 AI 虚假情感经历 性别平等,官方帮助中心+搜索引擎,当前规则,2026-07-16,,OFF-010;MED-001,,,,,官方原文确定规则，权威媒体仅用于交叉验证上线时间与变更背景
Q-OFF-002,全网,site:pgy.xiaohongshu.com/help/detail 小红书 虚假 低差 营销 治理,官方帮助中心+搜索引擎,当前规则,2026-07-16,,OFF-011;OFF-012,,,,,区分治理公告、低差商业规则和全站普通笔记作用域
Q-OFF-003,全网,site:pgy.xiaohongshu.com/help/detail 连续点赞 限流 流量作弊 作者健康等级 导流,官方帮助中心+搜索引擎,当前规则,2026-07-16,,OFF-013;OFF-014;OFF-015,,,,,核验连续点赞传言、蒲公英等级作用域及间接导流话术
Q-OFF-004,全网,小红书 社会责任报告 天眼 无感限流 真诚分,搜索引擎,官方 PDF,2026-07-16,,OFF-016,,,,,确认官方确实存在针对嫌疑账号的无感限流，但不外推为所有低流量原因
Q-OFF-005,全网,小红书 商业产品 搜索信息流 关键词,官方商业化网站,默认,2026-07-16,,OFF-017,,,,,用于区分付费搜索触达与自然搜索排序
Q-ENG-001,arXiv,Xiaohongshu Qilin multimodal information retrieval dataset sessions,学术搜索,原始论文,2026-07-16,,TECH-004,,,,,提取搜索会话、笔记字段与反馈数据结构
Q-ENG-002,arXiv/WWW,Xiaohongshu NoteLLM NoteLLM-2 I2I title content hashtag category image,学术搜索,原始论文,2026-07-16,,TECH-005;TECH-006,,,,,确认内容字段与相关笔记召回，不将其解释为固定权重
Q-ENG-003,arXiv/KDD,Xiaohongshu diversified recommendation SSD,学术搜索,原始论文,2026-07-16,,TECH-007,,,,,确认质量/效用与序列多样性并存，限定为 2021 探索页模块
Q-ENG-004,arXiv,Xiaohongshu QP-OneModel query intent NER term weighting rewrite,学术搜索,原始论文,2026-07-16,,TECH-008,,,,,确认查询理解模块复杂于关键词密度
Q-ENG-005,arXiv/ACL,Xiaohongshu UniNote R3A UGC relevance image OCR video local evidence,学术搜索,原始论文,2026-07-16,,TECH-009;TECH-010,,,,,确认多模态检索和局部答案证据；按 I2I/RAG 模块限制作用域
Q-ACA-001,arXiv,Xiaohongshu informal labor content creators KOC commercial disclosure,学术搜索,原始研究,2026-07-16,,ACA-004,,,,,用于真实性与经营身份研究，不用于推断算法
Q-IND-001,全网,小红书 流量机制 推荐流 搜索流 爆款 运营复盘,公众号转载/知乎/人人都是产品经理,按原文与证据形式筛选,2026-07-16,,IND-001;IND-002;IND-003;IND-004;IND-005;IND-006;IND-007,,,,,保留实测和反例；无分母的搜索占比、单账号因果和课程自创模型降级
Q-IND-002,全网,小红书 年度涨粉 内容生态 生命周期 长尾,新榜/新红/行业报告,年度或多账号数据优先,2026-07-16,,IND-008;IND-009;IND-010;IND-011;IND-012,,,,,区分成功者榜单与跨平台大样本；历史视频扶持结论不直接外推
Q-IND-003,全网,小红书 搜索推广 白皮书 用户搜索 MCN 经营,平台报告镜像/第一财经/克劳锐/公众号,方法与样本优先,2026-07-16,,IND-013;IND-014;IND-015;IND-016;IND-017;IND-018,,,,,广告语境、用户比例和自然笔记流量占比严格分开
Q-IND-004,全网,千瓜 飞瓜 蝉妈妈 小红书 爆文 图文 视频 评论 转化,第三方数据工具/报告,保留口径与局限,2026-07-16,,IND-019;IND-020;IND-021;IND-022;IND-023;IND-024;IND-025;IND-026;IND-027;IND-028;IND-029;IND-030,,,,,成功案例和 TOP 样本降级；重点提取格式条件、评论语义和互动—搜索冲突
Q-IND-005,全网,小红书 限流 商业合作 虚假种草 小眼睛 A/B 数据中心,36氪/CBNData/新榜/官方文档镜像/代理商,现行规则优先历史材料注明日期,2026-07-16,,IND-031;IND-032;IND-033;IND-034;IND-035;ACA-004;IND-037,,,,,历史限流材料不替代现行规则；自然笔记准实验不冒充随机 A/B；冲突 CES 公式作为辨伪材料
Q-XHS-001,小红书/全网,小红书流量机制,站内综合页与公开搜索引擎,默认,2026-07-16,0,IND-039;IND-042;IND-043;IND-044;IND-045,,,,,匿名站内搜索触发 300012 IP存在风险，不能记录站内排序；公开网页主要重复 CES/阶梯流量池传言
Q-XHS-002,小红书/全网,小红书搜索流量,站内综合页与公开搜索引擎,默认,2026-07-16,0,IND-038;IND-040;IND-041;OFF-018,,,,,站内结果未加载；外部案例的 65%/90% 指标分母各异，官方商品攻略仅限其活动语境
Q-XHS-003,小红书/全网,小红书爆款复盘,站内综合页与公开搜索引擎,默认,2026-07-16,0,XHS-001,,,,,仅找到一份可访问的近90天账号笔记统计；原帖 URL 和后台指标未公开
Q-XHS-004,小红书/全网,小红书账号标签,站内综合页与公开搜索引擎,默认,2026-07-16,0,IND-042,,,,,站内结果未加载；外部文章对账号权重/标签自相矛盾，降级为传言
Q-XHS-005,小红书/全网,小红书限流自查,站内综合页与公开搜索引擎,默认,2026-07-16,0,IND-033;IND-046,,,,,站内结果未加载；固定100浏览和薯条诊断无官方依据，低流量不能直接判限流
Q-XHS-006,小红书/全网,小红书标题封面,站内综合页与公开搜索引擎,默认,2026-07-16,0,IND-046;OFF-018,,,,,站内结果未加载；比例/字数和关键词建议需按产品作用域与本账号实验处理
Q-XHS-007,小红书/全网,小红书图文数据复盘,站内综合页与公开搜索引擎,默认,2026-07-16,0,XHS-001,,,,,保存 11 条笔记级样本；仅2篇图文且缺曝光/收藏，不足以比较格式因果
Q-XHS-008,小红书/全网,小红书内容运营,站内综合页与公开搜索引擎,默认,2026-07-16,0,IND-046;IND-047;IND-048;MED-002,,,,,站内结果未加载；历史聊天/故事案例与当前真实性、AI和商业治理存在时间冲突
Q-COMMENT-001,小红书,评论区截流,登录态站内搜索,综合,2026-07-16,20,XHS-002,,,,,只读采集首屏20张搜索卡并打开1条治理讨论详情；结果不是头部榜单，合并互动不拆成赞藏评
Q-COMMENT-002,小红书官方,关于不正当商业竞争行为的治理公告,蒲公英帮助中心,规则公告,2026-07-16,1,OFF-019,,,,,通过帮助中心标题进入官方详情页，核到当前URL、发布日期、商业撬客定义和处置
Q-COMMENT-003,全网,小红书 评论区引流 评论区截流 竞品撬客 主动私信,搜索引擎,官方与平台公告转述优先,2026-07-16,,OFF-019;IND-049;IND-061;MED-003;MED-007,,,,,区分当前官方商业治理、历史公告转述和媒体采访
Q-COMMENT-004,全网,小红书 批量评论 自动评论 机器人 水军 统一话术,搜索引擎,法规与治理优先,2026-07-16,,OFF-020;GOV-001;MED-002;MED-004;MED-008;IND-051;IND-052;IND-055;IND-056,,,,,自动化工具稿保留为反例，不执行其中脚本、账号或规避建议
Q-COMMENT-005,全网,评论 营销 是否构成广告 热评 虚假宣传 恶意评价,法规检索,现行原文,2026-07-16,,LEG-001;LEG-002,,,,,建立贡献型普通评论与营销/受托推销评论的法律边界；不代替个案法律意见
Q-COMMENT-006,全网,小红书 评论获客 涨粉 主页访问 案例 复盘,行业媒体/操盘文章,优先找后台与反例,2026-07-16,,IND-050;IND-053;IND-057;IND-058;IND-059;IND-060,,,,,效果主张多为单人自报、乘法推演或组合动作，不能形成稳定增长公式
Q-COMMENT-007,全网,小红书 评论 第三方平台 编造故事 低质营销 封号,媒体与处罚通知,交叉报道,2026-07-16,,MED-005;MED-006,,,,,两家媒体交叉呈现同轮处罚；仍不能替代当前全站官方规则原件
Q-COMMENT-008,全网,小红书 评论截流 低效 封号 自动化软件,行业营销稿/工具页,反例采集,2026-07-16,,IND-051;IND-052;IND-054;IND-055;IND-056;IND-058,,,,,专门保存高风险或无证据玩法，避免Skill未来把其当最佳实践
Q-ACQ-001,小红书官方,小红书 聚光 客资收集 私信咨询,聚光帮助中心,产品入口,2026-07-16,,OFF-021,,,,,只确认官方存在相应商业产品入口；实际行业、账户、素材和SKU准入需在投放时复核
Q-ACQ-002,小红书官方,小红书 商业产品 蒲公英 薯条 小程序 留资页 原生落地页 分享开放平台,官方产品页,产品能力,2026-07-16,,OFF-017;OFF-021;OFF-022;OFF-023,,,,,区分产品存在、准入资格和实际效果；不得由产品页推断成人SKU必然可投
Q-ACQ-003,知乎官方,知乎 创作者手册 盐值 知+ 营销导流 伪造经历 低俗,官方指南/规则/产品页,当前可访问页,2026-07-16,,OFF-024;OFF-025;OFF-026,,,,,用于定义知乎的原生内容角色和官方商业组件，不把知乎当小红书跳转泵
Q-ACQ-004,哔哩哔哩官方,B站 花火 UP主 品牌合作 用户协议 色情 垃圾广告,官方平台/协议,当前可访问页,2026-07-16,,OFF-027;OFF-028;OFF-029,,,,,用于定义深度解释与官方合作边界；成人行业能否合作仍需审核
Q-ACQ-005,抖音官方,抖音 情趣用品 类目 违禁商品 星图 用户协议,官方协议/电商学习中心/商业平台,当前与历史规则分开,2026-07-16,,OFF-030;OFF-031;OFF-032;OFF-033;OFF-034,,,,,存在经营类目不等于所有SKU、画面和功效可售；动态页执行前复核后台
Q-ACQ-006,全网,女性向 成人用品 小红书 跨平台 导流 案例 播客 线下,品牌采访/申奖案例/行业媒体,保留方法和局限,2026-07-16,,IND-062;IND-063;IND-064;IND-065,,,,,未找到可核验后台的外站→小红书→成交案例；只保存渠道组合、站内闭环和偶发UGC结构
Q-ACQ-007,法规,个人信息保护法 互联网广告管理办法 广告法 投稿 隐私 测评 购买链接,国家法律法规,现行原文,2026-07-16,,LEG-003;LEG-004;LEG-005,,,,,亲密投稿按高敏感信息治理；商业测评与购买方式、功效、未成年人边界单独审查
Q-ACQ-008,腾讯广告官方,腾讯广告 落地页 线索通 公众号 企微 CRM 归因,官方培训资料,产品能力,2026-07-16,,OFF-035,,,,,仅用于说明自愿留资后的官方承接与归因；不能为从小红书违规导微信背书
