sample_id,note_id,title,author,published_at_raw,published_at_normalized,date_confidence,visible_card_count,search_query,search_surface,canonical_url,detail_opened,evidence_grade,limitations
XHS-COMMENT-001,6837016a000000000f038e52,"小红书出手了！评论区‘撬客’截流玩法要凉凉！",胖小达运营日记,2025-05-28,2025-05-28,high,99,评论区截流,登录态综合搜索,https://www.xiaohongshu.com/explore/6837016a000000000f038e52,yes,C,"详情只读打开；卡片数字未擅自拆分为赞/藏/评；内容是创作者转述治理"
XHS-COMMENT-002,6982c524000000000a029737,"每日一运营：揭秘高效截流技巧",百里东郡1h2,02-04,2026-02-04,medium,74,评论区截流,登录态综合搜索,https://www.xiaohongshu.com/explore/6982c524000000000a029737,no,D,"年份由当前搜索页相对展示推定；只观察搜索卡，未打开详情"
XHS-COMMENT-003,689c64d8000000001d0183b9,"看完本篇，知道截流，学会截流",EasyParcel,2025-08-13,2025-08-13,high,93,评论区截流,登录态综合搜索,https://www.xiaohongshu.com/explore/689c64d8000000001d0183b9,no,D,"只观察搜索卡；无法核验正文、互动拆分或效果"
XHS-COMMENT-004,697a0966000000000b0121ad,"流量高阶玩法：评论区截流",吴晓德（编导日记）,01-28,2026-01-28,medium,34,评论区截流,登录态综合搜索,https://www.xiaohongshu.com/explore/697a0966000000000b0121ad,no,D,"年份由当前搜索页展示推定；只观察搜索卡"
XHS-COMMENT-005,68070b88000000001c02adaf,"做运营不会截流的都看过来了 不讲废话",蓝莓运营,2025-04-22,2025-04-22,high,442,评论区截流,登录态综合搜索,https://www.xiaohongshu.com/explore/68070b88000000001c02adaf,no,D,"只观察搜索卡；高卡片数字不能证明方法有效"
XHS-COMMENT-006,6a0a8e4f0000000035022b68,"评论区截流核心方法✨",帅气霸王龙l9t,05-27,2026-05-27,medium,10,评论区截流,登录态综合搜索,https://www.xiaohongshu.com/explore/6a0a8e4f0000000035022b68,no,D,"年份由当前搜索页展示推定；只观察搜索卡"
XHS-COMMENT-007,6a1c1bb8000000003601ce99,"评论区‘截胡’引流法（0预算）",不再嘻嘻哈哈,05-31,2026-05-31,medium,4,评论区截流,登录态综合搜索,https://www.xiaohongshu.com/explore/6a1c1bb8000000003601ce99,no,D,"年份由当前搜索页展示推定；只观察搜索卡"
XHS-COMMENT-008,67fe2195000000001c0369fb,"用AI做评论区截流，简单粗暴不讲道理",远山的思考,2025-04-15,2025-04-15,high,191,评论区截流,登录态综合搜索,https://www.xiaohongshu.com/explore/67fe2195000000001c0369fb,no,D,"只观察搜索卡；标题所述AI自动化方向与现行治理冲突"
XHS-COMMENT-009,69a39b30000000002603f6dc,"小红书热搜词丨先全链路拦截指南(附工具)",影像拾光,03-01,2026-03-01,medium,13,评论区截流,登录态综合搜索,https://www.xiaohongshu.com/explore/69a39b30000000002603f6dc,no,D,"年份由当前搜索页展示推定；只观察搜索卡"
XHS-COMMENT-010,6a5447d3000000000f0142e3,"没粉丝没账号，他在评论区40天捞了十几万",心智进化论,1天前,2026-07-15,low,68,评论区截流,登录态综合搜索,https://www.xiaohongshu.com/explore/6a5447d3000000000f0142e3,no,D,"日期按采集日近似换算；标题结果主张未核验，不能当证据"
XHS-COMMENT-011,681daa67000000000f03a8ac,"评论一次 好疯狂",江苏小洋心,2025-05-09,2025-05-09,high,8,评论区截流,登录态综合搜索,https://www.xiaohongshu.com/explore/681daa67000000000f03a8ac,no,D,"只观察搜索卡；标题信息不足"
XHS-COMMENT-012,69aff514000000002602cfae,"",私域乔合,03-10,2026-03-10,medium,51,评论区截流,登录态综合搜索,https://www.xiaohongshu.com/explore/69aff514000000002602cfae,no,D,"搜索卡未能可靠读取标题；年份推定；不用于内容模式判断"
XHS-COMMENT-013,68fd919a000000000302c318,"用AI做评论区截流，简单粗暴不讲道理",刘晓攀 | 元策道判断力,2025-10-26,2025-10-26,high,13,评论区截流,登录态综合搜索,https://www.xiaohongshu.com/explore/68fd919a000000000302c318,no,D,"只观察搜索卡；与另一标题相同，可能是改写/转载，未核实"
XHS-COMMENT-014,69c65ca3000000001e00ebf9,"可以在别人评论区引流吗？",小红薯浙江服务商,03-28,2026-03-28,medium,5,评论区截流,登录态综合搜索,https://www.xiaohongshu.com/explore/69c65ca3000000001e00ebf9,no,D,"年份由当前搜索页展示推定；服务商身份和结论未核验"
XHS-COMMENT-015,6919df28000000000400597e,"新媒体运营不要靠近这三种工作，会变得不幸",睡不够的龙,2025-11-16,2025-11-16,high,81,评论区截流,登录态综合搜索,https://www.xiaohongshu.com/explore/6919df28000000000400597e,no,D,"相关性可能来自正文而非标题；只观察搜索卡"
XHS-COMMENT-016,68833c40000000000d019292,"撬客截流风险",无忧认证.,2025-07-25,2025-07-25,high,1,评论区截流,登录态综合搜索,https://www.xiaohongshu.com/explore/68833c40000000000d019292,no,D,"只观察搜索卡；无法判断正文是否为官方规则复述"
XHS-COMMENT-017,67e6a163000000001203d165,"别人是怎么截流你的，这一刻具象化了！",阿文文探长,2025-03-28,2025-03-28,high,46,评论区截流,登录态综合搜索,https://www.xiaohongshu.com/explore/67e6a163000000001203d165,no,D,"只观察搜索卡；无法核验具体场景"
XHS-COMMENT-018,6873bfea000000000d025120,"",来康康运营,2025-07-13,2025-07-13,high,17,评论区截流,登录态综合搜索,https://www.xiaohongshu.com/explore/6873bfea000000000d025120,no,D,"搜索卡未能可靠读取标题；不用于内容模式判断"
XHS-COMMENT-019,671dd87b000000002603747b,"",荒岛,2024-10-27,2024-10-27,high,72,评论区截流,登录态综合搜索,https://www.xiaohongshu.com/explore/671dd87b000000002603747b,no,D,"搜索卡未能可靠读取标题；不用于内容模式判断"
XHS-COMMENT-020,6701474e000000001b021d6a,"",贤仔冲会员,2024-10-05,2024-10-05,high,54,评论区截流,登录态综合搜索,https://www.xiaohongshu.com/explore/6701474e000000001b021d6a,no,D,"搜索卡未能可靠读取标题；不用于内容模式判断"
